A/C,Type,MSN,Operator,Grounded,Export
F-HNET,A350-941,91,French West,True,15/07/2022 - 08:21
N504DN,A350-941,160,Delta,True,15/07/2022 - 08:21
D-AIXB,A350-941,80,Lufthansa,False,15/07/2022 - 08:21
D-AIXH,A350-941,184,Lufthansa,False,15/07/2022 - 08:21
D-AIXP,A350-941,390,Lufthansa,False,15/07/2022 - 08:21
D-AIXL,A350-941,255,Lufthansa,False,15/07/2022 - 08:21
G-XWBB,A350-1041,340,British Airways,False,15/07/2022 - 08:21
HL8078,A350-941,94,Asiana Airlines,False,15/07/2022 - 08:21
B-18906,A350-941,92,China Airlines,False,15/07/2022 - 08:21
F-WWCF,A350-941,2,Airbus Industries,True,15/07/2022 - 08:21
EC-NBO,A350-941,293,Iberojet,False,15/07/2022 - 08:21
N503DN,A350-941,149,Delta,True,15/07/2022 - 08:21
TC-LGA,A350-941,403,Turkish Airlines,False,15/07/2022 - 08:21
F-HTYB,A350-941,349,Air France,False,15/07/2022 - 08:21
F-HTYG,A350-941,479,Air France,False,15/07/2022 - 08:21
F-HREU,A350-941,5,French Bee,False,15/07/2022 - 08:21
F-WMIL,A350-1041,59,Airbus Industries,True,15/07/2022 - 08:21
N506DN,A350-941,175,Delta,False,15/07/2022 - 08:21
B-LXF,A350-1041,233,Cathay Pacific,False,15/07/2022 - 08:21
N512DN,A350-941,267,Delta,True,15/07/2022 - 08:21
B-LRS,A350-941,128,Cathay Pacific,False,15/07/2022 - 08:21
OH-LWG,A350-941,51,Finnair,False,15/07/2022 - 08:21
OH-LWL,A350-941,134,Finnair,False,15/07/2022 - 08:21
A7-ANM,A350-1041,350,Qatar,False,15/07/2022 - 08:21
9V-SHP,A350-941,436,Singapore Airlines,False,15/07/2022 - 08:21
9V-SHN,A350-941,385,Singapore Airlines,False,15/07/2022 - 08:21
A7-ALQ,A350-941,76,Qatar,False,15/07/2022 - 08:21
A7-ALN,A350-941,47,Qatar,False,15/07/2022 - 08:21
A7-ALK,A350-941,33,Qatar,False,15/07/2022 - 08:21
